0,FaceBook,https://www.facebook.com/,logos/facebook.png,0
1,Twitter,https://twitter.com,logos/twitter.png,0
2,BBC News,https://www.bbc.co.uk/news,logos/bbcNews.png,0
3,YouTube,https://www.youtube.com/,logos/youtube.png,0
4,Google,https://www.google.co.uk/,logos/google.png,0
5,Wikipedia,https://www.wikipedia.org/,logos/wikipedia.png,0
6,Gmail,https://mail.google.com,logos/gmail.png,0
7,The Guardian,https://www.theguardian.com/uk,logos/theGuardian.png,0
8,The Independent,https://www.independent.co.uk/,logos/theIndependent.png,0
9,Messenger,https://www.messenger.com/,logos/messenger.png,0
10,Google Drive,https://www.google.com/drive/,logos/googleDrive.png,0
11,Uni Email,https://login.microsoftonline.com/?whr=st-andrews.ac.uk,logos/office365.png,0
12,ProtonMail,https://protonmail.com/,logos/protonmail.png,0
13,Studres,https://studres.cs.st-andrews.ac.uk/,logos/studres.png,0
